Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	94.82695096150042	129.48254142683138	-127.05695092801211	375.3216669397714	90.50401485522528	32.35277835840177	33.26488324238662	134.79324779274285
1	-324.1411111897064	47.16089604079388	-401.3589246964428	-239.7596356744183	323.18578015221846	25.46882061323062	287.3758404741786	374.99887292724657
2	-842.5172737942687	53.93289319283934	-939.3518270090366	-771.4796654533103	748.2057061507176	46.19327774389696	654.4972780394837	807.9438274727364
3	-1053.9577457816656	21.935152229351186	-1080.5439151824485	-1010.2502015135296	930.489437436745	30.32877002818177	857.8555215997243	973.3389625377077
4	-1117.6290888734954	53.37012750538823	-1203.7916154757513	-1032.9865104293228	969.9525284707413	44.423753289138226	871.9874280115629	1023.7212231346994
5	-1199.2015378107517	82.85471170292833	-1331.0553620563858	-1026.971305497418	1113.2434790877269	63.62026030927388	956.7797857339139	1205.2651877000785
6	1291.711762110212	7425.518942441302	-1291.7771257882125	23567.48853966179	966.6101090945642	303.1131446897173	65.35305745530945	1149.8224438692203
7	-1179.0450622244593	74.6447407367591	-1326.061680801378	-1104.1424664018964	1085.501377108824	53.73065727999573	1000.2692218290189	1172.8690554500404
8	-1223.545836326051	64.24427887952059	-1352.448394303438	-1132.1700421597461	1068.1948270748119	76.8683514113835	935.3145086917901	1194.9425366586502
9	-1175.365342894493	57.964579578337485	-1257.0172338526422	-1064.878181654674	1081.7535967498702	42.875205423841095	1006.061580854076	1189.5932871959435
10	-1226.3033174273817	60.68778928607912	-1301.6448823693454	-1085.3766181803796	1081.9666541674114	41.61254212066321	992.9244697133848	1129.4898168664286
11	-1245.9989006389728	82.49628522518047	-1391.4410479341916	-1059.9004490646319	1093.433686609164	67.65537790462525	924.9932934016153	1206.0883592457587
12	-1155.8353180597196	50.70857582694484	-1238.7381545180713	-1088.7139355495713	990.227192041094	41.22616218211236	937.947390989456	1070.8599289780527
13	-1171.1142799981483	37.464323290748	-1250.196289434595	-1116.8226496183518	1027.836707834368	33.31424616984874	967.3661265609607	1062.0617622047819
