Iteration	Average_BC_Return	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-7.895930305609249	96.02591034387191	79.74160041684817	-3.5291047084005047	239.77856960034873	103.7238014332551	30.152497433224273	55.08238971512389	160.54088240904355
1	-94.95902694870595	-520.1640312130745	63.44107862171231	-628.3639199076049	-389.28802098880215	522.5175261802061	35.592393267287456	445.53819081172736	569.2332347909542
2	-34.950072923023	-777.2097379970471	37.15661565008522	-836.7148718036087	-692.179835563936	666.3645591635875	20.93627726282292	638.6168300517306	709.2539465015252
3	-63.937717647261366	-1128.2757437281607	51.93194490970679	-1221.7080866568049	-1040.295805303423	979.2424157768404	28.027584833017347	936.5710979938534	1022.7838283483844
4	-43.51225389835491	-1237.1032647925394	64.55774378266283	-1298.5603175659435	-1106.7204636148915	1098.3233121832604	48.70838616525293	990.7395692753386	1178.2327286657928
5	-50.06545932646909	-1292.3639905010732	66.61503445296893	-1409.896012948444	-1193.632811407204	1125.2370577470715	51.332877839050546	1057.3750533534253	1218.730777154947
6	-88.01113968700145	-1362.439164002672	67.880270150003	-1497.6909394032273	-1249.4341071856027	1221.4707120030946	48.78790020115641	1161.0192497920625	1292.7924882025059
7	-55.48951530497269	-1351.4318676214796	60.14060954068316	-1460.9333587240806	-1284.3006568635717	1167.11425577687	61.23865490862356	1089.9962797331457	1278.958790186536
8	-22.78506264700493	-1431.2813037740787	71.739452130132	-1588.736508789092	-1317.0046682048808	1258.346236278144	67.70169300521914	1137.8524665286775	1379.1183875675226
9	-37.02951397788955	-1312.3983502033566	91.2238921539799	-1440.652091166844	-1148.3405578030022	1161.102955877022	77.00377690820052	1017.6455202087469	1282.5404521288378
10	-95.04443151942938	-1280.2767150450147	80.02979410745805	-1406.1074619135115	-1145.7600383749764	1116.9361660929437	79.26445783133563	990.9366106294883	1259.07473792793
11	-33.8702094292315	-1319.090954998742	96.86358427471862	-1504.8185782453236	-1169.832811252552	1147.438287472291	94.55595638101134	1017.4985589629928	1323.390350108502
12	-59.12022165702606	-1605.0914462766468	82.46534892248921	-1740.2529999912883	-1497.8598065736185	1418.7276676565646	69.86826851168107	1317.4433669779505	1554.4640657536606
13	-45.72073990084119	-1528.613882198184	41.66258761449472	-1577.8307261236466	-1467.2559984452603	1365.6931293057114	46.912031890659854	1291.8145059918556	1439.357417490843
14	-39.520391296160795	-1392.9424559278027	52.9839895094629	-1498.3105927550587	-1306.083948147806	1224.328611859415	55.377385100706626	1155.1035662989873	1346.7772920409068
