Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	50.10437869675999	63.650384001397676	-35.60715910907255	163.25039003090035	151.0627802988335	35.73866412504606	99.64223432092298	206.46186768394807
1	-546.0475367316345	80.77233298904352	-674.9363155632457	-374.95189886356934	925.9362778469952	34.617745711758765	881.2604025156965	998.1681636988524
2	-744.0156745809795	2506.143409143858	-1694.871956812238	6771.811748589766	1265.5022438655596	188.8664795689815	757.1064569581459	1443.755713682345
3	1002.27323802705	6216.087386694575	-1813.5040014662554	18460.057984542585	1378.4807885040793	502.5475058933241	218.61739204940181	1679.589818580225
4	438.7506991604938	5075.42820052863	-2604.7541692472255	13552.958054915965	1765.343424430633	516.9367643547082	703.746608581185	2197.6463597218517
5	125.05405034917098	4103.750009025395	-2520.2739819313	8291.707366248274	1768.6684879538448	540.8909337754161	634.6117810609688	2157.1783893374395
6	-1734.0644494164985	2583.857530985686	-2982.8663819402955	5986.161731206459	2155.228371967588	529.9958627056033	662.0480323017554	2629.406132191863
7	-2821.364039495867	184.88794113538893	-3112.993411117546	-2467.291288911187	2350.902514381234	173.88417054781354	1998.5116594995686	2570.2802198255945
8	-2326.5394906815013	1628.9870427900903	-3211.5859399601122	2531.654579442255	2105.8733338013712	317.476325023922	1291.0324432184207	2421.739566247958
9	-2933.086130409288	142.833767630367	-3246.5343647175923	-2723.198109632491	2369.91271913585	173.09684065358957	1995.9041337298897	2679.131359591979
10	-2112.569753881107	2027.8478821147928	-3055.122980511256	3941.5539120936405	1943.274397595046	531.5793134294418	393.29972615352267	2277.778440193217
11	-2807.111271213199	164.3138319031644	-2991.3296256149224	-2549.186196504349	2057.4273010732186	155.31065756507073	1796.0698332618583	2299.805402324944
12	-3118.36293057423	147.63767834350173	-3377.6322176758886	-2870.6675368972806	2142.0929002925986	123.37003855074255	1911.5236846100224	2328.9191950638506
13	-2847.4092141793594	141.9235310597758	-3020.62215777718	-2463.649164138858	1841.5462601366557	111.11082711801895	1653.6178653950715	2027.439491978947
14	-3260.835584521159	165.21744152915466	-3494.57429430106	-2964.274404470334	1991.8775914249702	160.87460803951927	1701.8371886614405	2236.247825172063
