Iteration	Average_BC_Return	Std_BC_Return	Minimum_BC_Return	Maximum_BC_Return	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-35.77191087620635	4.218543899746894	-43.154628165315856	-30.37774367274685	-99.38070874785919	21.849208339526008	-138.7672508571765	-71.82683385621549
1	43.07352560161036	4.742803710188435	32.92279999222374	49.06558418321297	-68.37545942570196	19.43488505218803	-108.04369417910209	-45.23224605765646
2	-54.987926019060936	43.81806805163904	-94.91893418592274	15.448793161304861	-264.8598998284482	91.28025523333177	-368.03230605308664	-83.6378070712409
3	1.0901460471688518	8.07595760606445	-15.284208705229448	12.415036149360393	-156.52549947225103	22.73275765612156	-192.5443496339714	-112.10289721764644
4	-16.382151126227964	30.137013390720217	-42.16306663252789	70.21989723277237	-194.60798956488125	43.516492643379415	-223.36533670949981	-68.48471833821651
5	-59.441373695952144	6.271127758162995	-71.60696317472474	-50.22891773998897	-162.0442553367338	69.74704571892157	-245.8595234417123	-82.0648805396432
6	62.9329746293776	44.037225980096636	-67.9974849987914	89.58734911215817	-136.45353930754104	66.4902837321257	-204.11248800614513	-35.09171026505284
7	71.02170159327652	4.684648197815048	65.32414395354469	78.71632498446196	-105.28881111950508	35.69558801195988	-206.14857033027823	-65.16169468353729
8	58.64273299634253	19.853342485346047	27.491734747326348	96.01793502938388	-140.93608247186776	68.1154303546996	-252.7020083762193	-70.9753732283363
9	80.7396408793501	8.121561389700338	67.33979147352662	94.28800497503813	-90.85741134810358	17.186401875916467	-123.31041232643202	-68.0122962136276
10	72.1525084613622	10.897103384075702	55.685952872902796	90.14278605597944	-97.67146447764097	40.26129702552225	-199.93205702030932	-50.2830016140977
11	65.84495237051689	13.372241586959138	34.281245446597616	79.55051931308397	-91.06890667611022	42.9240225684585	-201.77748795218702	-61.654513761320764
12	51.51883922919249	13.627805692314231	37.227520984084734	74.72292624314296	-77.08974286712373	49.748347210605196	-221.32059025774984	-44.49937342250217
13	29.3220408365111	12.592623285958798	11.20147804261135	49.601509688573415	-52.72632187697191	12.634221385309337	-71.73841281201743	-33.117748220702566
14	162.84730801619665	5.455520490822433	156.02947527681897	173.3193807031365	-2.3292688030713182	19.39932235713526	-37.611524213215645	27.239205129379485
